Tax Auditor,34.33,58.25,34.31,44.8,34.32,50.78,100.05%
Traffic Marking Lead Wkr,27.52,32,27.52,58.6,27.52,54.17,100%
Trans Line CC,47.67,2,47.67,151,47.67,76.5,100%
Transmission CC-WDM II,37.4,7,38.09,39,37.86,28.33,98.20%
"Transp Plnr,Assoc",39.96,105.67,38.5,45.67,39.23,75.67,103.80%
"Transp Plnr,Asst",30.55,44,30.55,154,30.55,99,100%
"Transp Plnr,Sr",43.46,33.4,42.85,80.7,43.05,64.93,101.43%
Treasury Cashier,31.51,98.33,28.88,7.5,30.46,62,109.11%
Trng&Ed Coord,33.69,82.5,33.04,84.5,33.53,83,101.97%
"Trng&Ed Coord,Sr",35.74,63,33.73,77,35.29,66.11,105.96%
Truck Drvr,27.58,68.5,27.49,108.33,27.49,106.24,100.33%
"Truck Drvr,Heavy",29,206.86,28.93,103.88,28.94,121.46,100.23%
